funkcja,wymiar,czas,numer_testu
dot,657,1.3e-6,1
matrix_vector_mult,657,0.0004457,51
dot,657,6.0e-7,1
matrix_vector_mult,657,0.0004114,51
dot,657,5.0e-7,1
matrix_vector_mult,657,0.000423101,51
dot,657,6.0e-7,1
matrix_vector_mult,657,0.000435599,51
dot,657,8.0e-7,1
matrix_vector_mult,657,0.0004037,51
dot,657,6.0e-7,1
matrix_vector_mult,657,0.0004262,51
dot,657,6.0e-7,1
matrix_vector_mult,657,0.0004529,51
dot,657,4.99e-7,1
matrix_vector_mult,657,0.0004041,51
dot,657,5.0e-7,1
matrix_vector_mult,657,0.0004186,51
dot,657,4.01e-7,1
matrix_vector_mult,657,0.000389199,51
dot,632,6.01e-7,2
matrix_vector_mult,632,0.000421,52
dot,632,5.0e-7,2
matrix_vector_mult,632,0.0003731,52
dot,632,2.1e-6,2
matrix_vector_mult,632,0.000404899,52
dot,632,5.0e-7,2
matrix_vector_mult,632,0.000375,52
dot,632,4.99e-7,2
matrix_vector_mult,632,0.0004358,52
dot,632,6.0e-7,2
matrix_vector_mult,632,0.0003832,52
dot,632,5.0e-7,2
matrix_vector_mult,632,0.0003721,52
dot,632,7.0e-7,2
matrix_vector_mult,632,0.0003751,52
dot,632,3.0e-7,2
matrix_vector_mult,632,0.000383599,52
dot,632,7.0e-7,2
matrix_vector_mult,632,0.0004722,52
dot,53,4.01e-7,3
matrix_vector_mult,53,1.2e-6,53
dot,53,1.0e-7,3
matrix_vector_mult,53,7.0e-7,53
dot,53,1.0e-7,3
matrix_vector_mult,53,5.0e-7,53
dot,53,1.01e-7,3
matrix_vector_mult,53,6.0e-7,53
dot,53,1.0e-7,3
matrix_vector_mult,53,8.99e-7,53
dot,53,9.9e-8,3
matrix_vector_mult,53,8.0e-7,53
dot,53,0.0,3
matrix_vector_mult,53,5.0e-7,53
dot,53,9.9e-8,3
matrix_vector_mult,53,6.0e-7,53
dot,53,1.01e-7,3
matrix_vector_mult,53,7.0e-7,53
dot,53,0.0,3
matrix_vector_mult,53,7.0e-7,53
dot,831,4.0e-7,4
matrix_vector_mult,831,0.0006743,54
dot,831,6.99e-7,4
matrix_vector_mult,831,0.000579601,54
dot,831,4.0e-7,4
matrix_vector_mult,831,0.000677501,54
dot,831,7.0e-7,4
matrix_vector_mult,831,0.0006102,54
dot,831,2.0e-6,4
matrix_vector_mult,831,0.000705601,54
dot,831,4.0e-7,4
matrix_vector_mult,831,0.0006041,54
dot,831,4.0e-7,4
matrix_vector_mult,831,0.0006376,54
dot,831,7.0e-7,4
matrix_vector_mult,831,0.0006108,54
dot,831,5.0e-7,4
matrix_vector_mult,831,0.0006957,54
dot,831,7.0e-7,4
matrix_vector_mult,831,0.00068,54
dot,62,3.99e-7,5
matrix_vector_mult,62,1.3e-6,55
dot,62,0.0,5
matrix_vector_mult,62,8.0e-7,55
dot,62,0.0,5
matrix_vector_mult,62,8.0e-7,55
dot,62,1.0e-7,5
matrix_vector_mult,62,7.0e-7,55
dot,62,0.0,5
matrix_vector_mult,62,1.1e-6,55
dot,62,1.0e-7,5
matrix_vector_mult,62,8.01e-7,55
dot,62,0.0,5
matrix_vector_mult,62,7.0e-7,55
dot,62,1.01e-7,5
matrix_vector_mult,62,6.0e-7,55
dot,62,9.9e-8,5
matrix_vector_mult,62,6.0e-7,55
dot,62,0.0,5
matrix_vector_mult,62,1.201e-6,55
dot,746,1.99e-7,6
matrix_vector_mult,746,0.000537399,56
dot,746,5.01e-7,6
matrix_vector_mult,746,0.0005258,56
dot,746,8.0e-7,6
matrix_vector_mult,746,0.0005087,56
dot,746,6.5e-6,6
matrix_vector_mult,746,0.000641701,56
dot,746,6.0e-7,6
matrix_vector_mult,746,0.000492001,56
dot,746,7.0e-7,6
matrix_vector_mult,746,0.000625899,56
dot,746,6.99e-7,6
matrix_vector_mult,746,0.0005088,56
dot,746,7.0e-7,6
matrix_vector_mult,746,0.0004961,56
dot,746,8.0e-7,6
matrix_vector_mult,746,0.0005179,56
dot,746,1.201e-6,6
matrix_vector_mult,746,0.000507,56
dot,881,8.99e-7,7
matrix_vector_mult,881,0.000678401,57
dot,881,7.0e-7,7
matrix_vector_mult,881,0.000671499,57
dot,881,5.0e-7,7
matrix_vector_mult,881,0.0007063,57
dot,881,2.2e-6,7
matrix_vector_mult,881,0.0010006,57
