n,k,naive,better,blas
10,0,0.000000,0.000000,0.000000
10,1,0.000000,0.000000,0.000000
10,2,0.000000,0.000000,0.000000
10,3,0.000000,0.000000,0.000000
10,4,0.000000,0.000000,0.000000
10,5,0.000000,0.000000,0.000000
10,6,0.000000,0.000000,0.000000
10,7,0.000000,0.000000,0.000000
10,8,0.000000,0.000000,0.000000
10,9,0.000000,0.000000,0.000000
20,0,0.000000,0.000000,0.000000
20,1,0.000000,0.000000,0.000000
20,2,0.000000,0.000000,0.000000
20,3,0.000000,0.000000,0.000000
20,4,0.000000,0.000000,0.000000
20,5,0.000000,0.000000,0.000000
20,6,0.000000,0.000000,0.000000
20,7,0.000000,0.000000,0.000000
20,8,0.000000,0.000000,0.000000
20,9,0.000000,0.000000,0.000000
30,0,0.000000,0.000000,0.000000
30,1,0.000000,0.000000,0.000000
30,2,0.000000,0.000000,0.000000
30,3,0.000000,0.000000,0.000000
30,4,0.000000,0.000000,0.000000
30,5,0.000000,0.000000,0.000000
30,6,0.000000,0.000000,0.000000
30,7,0.000000,0.000000,0.000000
30,8,0.000000,0.000000,0.000000
30,9,0.010000,0.000000,0.000000
40,0,0.000000,0.000000,0.000000
40,1,0.000000,0.000000,0.000000
40,2,0.000000,0.000000,0.000000
40,3,0.000000,0.000000,0.000000
40,4,0.000000,0.000000,0.000000
40,5,0.000000,0.000000,0.000000
40,6,0.000000,0.000000,0.000000
40,7,0.010000,0.000000,0.000000
40,8,0.000000,0.000000,0.000000
40,9,0.000000,0.000000,0.000000
50,0,0.000000,0.000000,0.000000
50,1,0.000000,0.000000,0.000000
50,2,0.000000,0.000000,0.000000
50,3,0.010000,0.000000,0.000000
50,4,0.000000,0.000000,0.000000
50,5,0.000000,0.000000,0.000000
50,6,0.000000,0.000000,0.000000
50,7,0.000000,0.000000,0.000000
50,8,0.000000,0.000000,0.000000
50,9,0.000000,0.000000,0.000000
60,0,0.010000,0.000000,0.000000
60,1,0.000000,0.000000,0.000000
60,2,0.000000,0.000000,0.000000
60,3,0.000000,0.000000,0.000000
60,4,0.000000,0.000000,0.000000
60,5,0.000000,0.000000,0.000000
60,6,0.000000,0.000000,0.000000
60,7,0.000000,0.010000,0.000000
60,8,0.000000,0.000000,0.000000
60,9,0.000000,0.000000,0.000000
70,0,0.000000,0.010000,0.000000
